Gene 1	Gene 2	Weight	Network group	Network
DTNB	ABI2	0.008020441	Co-expression	Mallon-McKay-2013
GOLGB1	SLC35A1	0.010601704	Co-expression	Mallon-McKay-2013
PI4KB	TBC1D22A	0.009730012	Co-expression	Mallon-McKay-2013
SLC35A1	ACBD3	0.0065734023	Co-expression	Wu-Garvey-2007
LDOC1	TBC1D22A	0.009962596	Co-expression	Wu-Garvey-2007
SLC35A1	NCKAP1	0.01401134	Co-expression	Jiang-de Kok-2017
SURF1	ACADVL	0.018049791	Co-expression	Rieger-Chu-2004
SLC35A1	TRIM32	0.0142355785	Co-expression	Rieger-Chu-2004
SURF1	ABHD11	0.005637317	Co-expression	Ross-Perou-2001
GOLGB1	ABLIM1	0.01420833	Co-expression	Dobbin-Giordano-2005
GOLGB1	SLC35A1	0.009147368	Co-expression	Ramaswamy-Golub-2001
NCKAP1	ACBD3	0.007666876	Co-expression	Bild-Nevins-2006 B
SLC35A1	NCKAP1	0.011846302	Co-expression	Bild-Nevins-2006 B
ADAM22	ABLIM1	0.009127103	Co-localization	Johnson-Shoemaker-2003
ADAM22	SPON1	0.013214945	Co-localization	Johnson-Shoemaker-2003
ABLIM1	ABT1	0.000731271	Genetic Interactions	Lin-Smith-2010
TRIM32	ABLIM1	0.00031827085	Genetic Interactions	Lin-Smith-2010
ADAM19	ABLIM1	0.000586116	Genetic Interactions	Lin-Smith-2010
NCKAP1	ACBD3	0.0010448168	Genetic Interactions	Lin-Smith-2010
TBC1D22A	ADAM19	0.0010002904	Genetic Interactions	Lin-Smith-2010
ADAM29	TAF1B	0.00097314245	Genetic Interactions	Lin-Smith-2010
BCO1	ABLIM1	0.0023442674	Genetic Interactions	Lin-Smith-2010
SLC25A25	ADAM19	0.0018578626	Genetic Interactions	Lin-Smith-2010
H2AC18	ABI2	0.0009160242	Genetic Interactions	Lin-Smith-2010
ADAM22	TBC1D22A	0.0006830938	Genetic Interactions	Lin-Smith-2010
DTNB	ABLIM1	0.00062634744	Genetic Interactions	Lin-Smith-2010
DTNB	ACADVL	0.0039091804	Genetic Interactions	Lin-Smith-2010
DTNB	IGHMBP2	0.0012285495	Genetic Interactions	Lin-Smith-2010
GOLGB1	ABLIM1	0.0006999753	Genetic Interactions	Lin-Smith-2010
GOLGB1	ADAM19	0.0016074918	Genetic Interactions	Lin-Smith-2010
GOLGB1	NCKAP1	0.0012395205	Genetic Interactions	Lin-Smith-2010
PI4KB	SLC35A1	0.0009890611	Genetic Interactions	Lin-Smith-2010
PI4KB	DTNB	0.0008141242	Genetic Interactions	Lin-Smith-2010
PI4KB	LDOC1	0.0014036131	Genetic Interactions	Lin-Smith-2010
PI4KB	GOLGB1	0.0009098253	Genetic Interactions	Lin-Smith-2010
NCKAP1	ABI2	0.11219675	Pathway	Wu-Stein-2010
NCKAP1	ABI2	0.17509007	Pathway	NCI_NATURE
H2AC18	ABCB6	1	Pathway	REACTOME
ADAM19	ABI2	0.39087668	Physical Interactions	IREF-mint
IHO1	ABI2	0.39172202	Physical Interactions	IREF-mint
PI4KB	ACBD3	0.5385411	Physical Interactions	IREF-mint
TBC1D22A	ACBD3	0.10517503	Physical Interactions	Huttlin-Gygi-2015
SURF1	ACADVL	0.36260277	Physical Interactions	Huttlin-Gygi-2015
SLC35A1	ACBD3	0.8342586	Physical Interactions	Huttlin-Gygi-2015
ADAM19	ABI2	0.1371726	Physical Interactions	IREF-spike
ADAM29	ABI2	0.46194538	Physical Interactions	IREF-spike
ADAM22	ABI2	0.35355377	Physical Interactions	IREF-spike
LDOC1	ABLIM1	0.059967488	Physical Interactions	IREF-spike
TRIM32	ABI2	0.061563086	Physical Interactions	IREF-SMALL-SCALE-STUDIES
