"source","target","Jaccard_weight","CPEweight"
"Interleukin-6 regulation of target genes","Irinotecan pathway",1,1
"Interleukin-6 regulation of target genes","Lipid digestion, mobilization, and transport",0,1
"Interleukin-6 regulation of target genes","S1P/S1P1 pathway",1,1
"Interleukin-6 regulation of target genes","Transmembrane transport of small molecules",1,1
"Irinotecan pathway","Lipid digestion, mobilization, and transport",0,1
"Irinotecan pathway","S1P/S1P1 pathway",1,1
"Irinotecan pathway","Transmembrane transport of small molecules",1,1
"Lipid digestion, mobilization, and transport","S1P/S1P1 pathway",0,1
"Lipid digestion, mobilization, and transport","Transmembrane transport of small molecules",0,1
"S1P/S1P1 pathway","Transmembrane transport of small molecules",1,1
"Binding of chemokines to chemokine receptors","GPCR ligand binding",1,1
"Binding of chemokines to chemokine receptors","Interleukin-6 regulation of target genes",0,1
"Binding of chemokines to chemokine receptors","Irinotecan pathway",0,1
"Binding of chemokines to chemokine receptors","Myometrial relaxation and contraction pathways",1,1
"Binding of chemokines to chemokine receptors","Peptide G-protein coupled receptors",1,1
"Binding of chemokines to chemokine receptors","S1P/S1P1 pathway",0,1
"Binding of chemokines to chemokine receptors","TGF-beta regulation of extracellular matrix",1,1
"Binding of chemokines to chemokine receptors","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",1,1
"Binding of chemokines to chemokine receptors","Transmembrane transport of small molecules",0,1
"GPCR ligand binding","Interleukin-6 regulation of target genes",0,1
"GPCR ligand binding","Irinotecan pathway",0,1
"GPCR ligand binding","Myometrial relaxation and contraction pathways",1,1
"GPCR ligand binding","Peptide G-protein coupled receptors",1,1
"GPCR ligand binding","S1P/S1P1 pathway",0,1
"GPCR ligand binding","TGF-beta regulation of extracellular matrix",1,1
"GPCR ligand binding","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",1,1
"GPCR ligand binding","Transmembrane transport of small molecules",0,1
"Interleukin-6 regulation of target genes","Irinotecan pathway",1,1
"Interleukin-6 regulation of target genes","Myometrial relaxation and contraction pathways",0,1
"Interleukin-6 regulation of target genes","Peptide G-protein coupled receptors",0,1
