"PATHWAY_ID","PATHWAY_NAME","GENE_ID","GENE_SYMBOL"
"bioplanet_1339","RXR/VDR pathway",19,"ABCA1"
"bioplanet_1339","RXR/VDR pathway",596,"BCL2"
"bioplanet_1339","RXR/VDR pathway",3164,"NR4A1"
"bioplanet_1339","RXR/VDR pathway",5465,"PPARA"
"bioplanet_1339","RXR/VDR pathway",5467,"PPARD"
"bioplanet_1339","RXR/VDR pathway",5468,"PPARG"
"bioplanet_1339","RXR/VDR pathway",5469,"MED1"
"bioplanet_1339","RXR/VDR pathway",5914,"RARA"
"bioplanet_1339","RXR/VDR pathway",5915,"RARB"
"bioplanet_1339","RXR/VDR pathway",5916,"RARG"
"bioplanet_1339","RXR/VDR pathway",6198,"RPS6KB1"
"bioplanet_1339","RXR/VDR pathway",6256,"RXRA"
"bioplanet_1339","RXR/VDR pathway",6257,"RXRB"
"bioplanet_1339","RXR/VDR pathway",6258,"RXRG"
"bioplanet_1339","RXR/VDR pathway",6720,"SREBF1"
"bioplanet_1339","RXR/VDR pathway",7040,"TGFB1"
"bioplanet_1339","RXR/VDR pathway",7067,"THRA"
"bioplanet_1339","RXR/VDR pathway",7068,"THRB"
"bioplanet_1339","RXR/VDR pathway",7124,"TNF"
"bioplanet_1339","RXR/VDR pathway",7376,"NR1H2"
"bioplanet_1339","RXR/VDR pathway",7421,"VDR"
"bioplanet_1339","RXR/VDR pathway",8648,"NCOA1"
"bioplanet_1339","RXR/VDR pathway",9612,"NCOR2"
"bioplanet_1339","RXR/VDR pathway",9971,"NR1H4"
"bioplanet_1339","RXR/VDR pathway",10062,"NR1H3"
"bioplanet_1339","RXR/VDR pathway",84498,"FAM120B"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",21,"ABCA3"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",162,"AP1B1"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",190,"NR0B1"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",322,"APBB1"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",522,"ATP5J"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",595,"CCND1"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",672,"BRCA1"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",718,"C3"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",1051,"CEBPB"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",1147,"CHUK"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",1509,"CTSD"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",1826,"DSCAM"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",2033,"EP300"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",2099,"ESR1"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",2100,"ESR2"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",3065,"HDAC1"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",3298,"HSF2"
"bioplanet_1354","Validated nuclear estrogen receptor alpha network",3725,"JUN"
