source	target	interaction	Weight	neighborhood	fusion	cooccurence	coexpression	experiments	experiments_transferred	database	database_transferred	textmining	textmining_transferred	combined_score
A1BG	ABCC6	experiments	252	0	0	0	47	140	112	0	0	0	0	208
A1BG	ABL1	experiments_transferred	81	0	0	0	0	0	81	0	0	177	0	211
A1BG	ACHE	experiments_transferred	127	0	0	0	0	0	127	0	0	0	54	152
A1BG	ACTB	experiments_transferred	46	0	0	0	0	0	46	0	0	159	45	166
A1BG	ACTN1	experiments_transferred	45	0	0	0	0	0	45	0	0	149	51	161
A1BG	ADAT1	experiments_transferred	52	0	0	0	0	0	52	0	0	124	289	357
A1BG	AGMAT	experiments_transferred	137	0	0	0	0	0	137	0	0	0	65	170
A1BG	AHSG	experiments_transferred	467	0	0	0	56	0	67	400	0	722	91	849
A1BG	AKIRIN2	experiments	292	0	0	0	0	292	0	0	0	0	0	292
A1BG	AKT1	experiments_transferred	81	0	0	0	0	0	81	0	0	303	0	332
A1BG	ALDOA	experiments_transferred	451	0	0	0	44	0	51	400	0	107	0	448
A1BG	AMBP	experiments_transferred	127	0	0	0	62	0	127	0	0	596	42	716
A1BG	AMOTL2	experiments_transferred	91	0	0	0	0	0	91	0	0	55	102	161
A1BG	ANKRD10	experiments_transferred	93	0	0	0	0	0	93	0	0	124	139	256
A1BG	APOA5	experiments_transferred	67	0	0	0	64	0	67	0	0	81	80	202
A1BG	APOB	experiments_transferred	50	0	0	0	0	0	50	0	0	272	0	278
A1BG	APOH	experiments_transferred	91	0	0	0	42	0	91	0	0	447	92	525
A1BG	APP	experiments_transferred	134	0	0	0	0	0	134	0	0	101	0	188
A1BG	ARG1	experiments_transferred	137	0	0	0	0	0	137	0	0	55	65	179
A1BG	ARG2	experiments_transferred	137	0	0	0	0	0	137	0	0	0	65	167
A1BG	ASB10	experiments_transferred	93	0	0	0	44	0	93	0	0	0	120	170
A1BG	ASB16	experiments_transferred	93	0	0	0	0	0	93	0	0	0	115	162
A1BG	ASB18	experiments_transferred	93	0	0	0	59	0	93	0	0	144	120	271
A1BG	ASB6	experiments_transferred	93	0	0	0	0	0	93	0	0	105	0	153
A1BG	ASB8	experiments_transferred	93	0	0	0	0	0	93	0	0	146	65	212
A1BG	AZGP1	experiments_transferred	84	0	0	0	0	0	84	0	0	512	45	535
A1BG	B2M	experiments_transferred	125	0	0	0	0	0	125	0	0	193	49	269
A1BG	BCAR1	experiments_transferred	46	0	0	0	0	0	46	0	0	148	45	155
A1BG	BCHE	experiments_transferred	127	0	0	0	42	0	127	0	0	105	54	209
A1BG	BCL2	experiments_transferred	125	0	0	0	0	0	125	0	0	76	0	156
A1BG	C1QA	experiments_transferred	91	0	0	0	44	0	91	0	0	131	43	180
A1BG	C1QB	experiments_transferred	91	0	0	0	0	0	91	0	0	159	43	204
A1BG	C1QC	experiments_transferred	125	0	0	0	42	0	125	0	0	125	81	235
A1BG	C1R	experiments_transferred	113	0	0	0	58	0	113	0	0	321	156	457
A1BG	C1RL	experiments_transferred	113	0	0	0	0	0	113	0	0	223	156	367
A1BG	C1S	experiments_transferred	113	0	0	0	45	0	113	0	0	307	254	503
A1BG	C2	experiments_transferred	113	0	0	0	44	0	113	0	0	105	71	200
A1BG	C4BPA	experiments_transferred	91	0	0	0	0	0	91	0	0	285	131	385
A1BG	C4BPB	experiments_transferred	91	0	0	0	68	0	91	0	0	187	77	279
A1BG	C8B	experiments_transferred	45	0	0	0	49	0	45	0	0	214	50	231
A1BG	CABYR	experiments_transferred	93	0	0	202	0	0	93	0	0	91	64	301
A1BG	CATSPERE	experiments_transferred	52	0	0	221	0	0	52	0	0	0	0	229
A1BG	CCDC136	experiments_transferred	93	0	0	201	0	0	93	0	0	0	0	244
A1BG	CCL2	experiments_transferred	99	0	0	0	0	0	99	0	0	85	0	153
A1BG	CD22	experiments_transferred	126	0	0	0	0	0	126	0	0	0	123	200
A1BG	CD5	experiments_transferred	263	0	0	0	0	0	263	0	0	0	97	306
A1BG	CD79A	experiments_transferred	179	0	0	0	42	0	179	0	0	184	64	318
A1BG	CD79B	experiments_transferred	172	0	0	0	0	0	172	0	0	85	0	209
A1BG	CD80	experiments_transferred	126	0	0	222	0	0	126	0	0	0	42	291
A1BG	CD9	experiments_transferred	113	0	0	0	0	0	113	0	0	91	0	159
A1BG	CDH1	experiments_transferred	45	0	0	0	0	0	45	0	0	119	116	191
A1BG	CEACAM3	experiments_transferred	93	0	0	0	0	0	93	0	0	344	0	379
A1BG	CEACAM4	experiments_transferred	93	0	0	0	42	0	93	0	0	359	0	394
A1BG	CEACAM5	experiments_transferred	126	0	0	0	0	0	126	0	0	118	42	197
A1BG	CEACAM6	experiments_transferred	93	0	0	0	0	0	93	0	0	551	0	575
A1BG	CEACAM7	experiments_transferred	93	0	0	0	0	0	93	0	0	359	0	393
A1BG	CEACAM8	experiments_transferred	93	0	0	0	0	0	93	0	0	351	0	386
A1BG	CELA2A	experiments_transferred	113	0	0	0	0	0	113	0	0	57	72	155
A1BG	CELA3A	experiments_transferred	113	0	0	0	0	0	113	0	0	58	72	156
A1BG	CFB	experiments_transferred	113	0	0	0	0	0	113	0	0	475	71	529
A1BG	CFD	experiments_transferred	513	0	0	0	42	0	113	400	0	145	72	521
A1BG	CFH	experiments_transferred	134	0	0	0	42	0	134	0	0	323	0	389
A1BG	CFHR1	experiments_transferred	91	0	0	0	62	0	91	0	0	187	41	246
A1BG	CFHR2	experiments_transferred	91	0	0	0	65	0	91	0	0	149	41	213
A1BG	CFHR5	experiments_transferred	91	0	0	0	67	0	91	0	0	0	80	191
A1BG	CFI	experiments_transferred	113	0	0	0	0	0	113	0	0	269	44	325
A1BG	CFP	experiments_transferred	126	0	0	0	56	0	126	0	0	108	42	200
A1BG	CLEC3B	experiments_transferred	91	0	0	0	49	0	91	0	0	195	41	243
A1BG	COL22A1	experiments_transferred	144	0	0	0	0	0	144	0	0	0	53	154
A1BG	COL6A1	experiments_transferred	91	0	0	0	0	0	91	0	0	371	43	405
A1BG	COL6A2	experiments_transferred	91	0	0	0	42	0	91	0	0	241	116	337
A1BG	CORIN	experiments_transferred	114	0	0	0	0	0	114	0	0	83	50	160
A1BG	CPN2	experiments_transferred	100	0	0	0	62	0	100	0	0	159	75	255
A1BG	CRISP3	experiments	292	0	0	0	0	292	0	0	0	920	46	941
A1BG	CSK	experiments_transferred	81	0	0	0	0	0	81	0	0	136	0	172
A1BG	CTRB1	experiments_transferred	113	0	0	0	0	0	113	0	0	108	72	201
A1BG	CTRB2	experiments_transferred	113	0	0	0	0	0	113	0	0	97	72	191
A1BG	CTRC	experiments_transferred	113	0	0	0	58	0	113	0	0	181	72	279
A1BG	CXCL1	experiments_transferred	134	0	0	0	0	0	134	0	0	0	115	200
A1BG	CXCL2	experiments_transferred	134	0	0	0	42	0	134	0	0	0	115	201
A1BG	CXCL3	experiments_transferred	134	0	0	0	47	0	134	0	0	0	115	205
A1BG	CXCL6	experiments_transferred	134	0	0	0	0	0	134	0	0	0	135	218
A1BG	DECR1	experiments_transferred	66	0	0	0	0	0	66	0	0	102	68	150
A1BG	DHRS7	experiments_transferred	84	0	0	0	0	0	84	0	0	105	57	159
A1BG	DPP4	experiments_transferred	100	0	0	0	0	0	100	0	0	104	102	212
A1BG	EFCAB7	experiments_transferred	45	0	0	0	0	0	45	0	0	138	102	196
A1BG	EFEMP1	experiments_transferred	107	0	0	0	0	0	107	0	0	121	0	181
A1BG	EGFR	experiments_transferred	67	0	0	0	0	0	67	0	0	480	43	495
A1BG	ELANE	experiments_transferred	113	0	0	0	0	0	113	0	0	137	72	227
A1BG	ENO1	experiments_transferred	103	0	0	0	0	0	103	0	0	159	0	213
A1BG	EPO	experiments_transferred	96	0	0	0	44	0	96	0	0	108	91	217
A1BG	EPOR	experiments_transferred	131	0	0	0	0	0	131	0	0	107	0	190
A1BG	ERBB2	experiments_transferred	67	0	0	0	0	0	67	0	0	464	43	479
A1BG	ERBB3	experiments_transferred	67	0	0	0	0	0	67	0	0	135	43	160
A1BG	F10	experiments_transferred	113	0	0	0	47	0	113	0	0	125	72	221
A1BG	F11	experiments_transferred	113	0	0	0	56	0	113	0	0	0	72	155
A1BG	F12	experiments_transferred	271	0	0	0	55	0	271	0	0	103	54	337
A1BG	F13A1	experiments_transferred	61	0	0	0	0	0	61	0	0	162	67	207
A1BG	F13B	experiments_transferred	91	0	0	0	59	0	91	0	0	237	106	355
A1BG	F2	experiments_transferred	113	0	0	0	82	0	113	0	0	220	72	380
A1BG	F9	experiments_transferred	113	0	0	0	72	0	113	0	0	85	72	207
A1BG	FBLN1	experiments_transferred	107	0	0	0	0	0	107	0	0	181	41	237
A1BG	FCAMR	experiments_transferred	57	0	0	203	0	0	57	0	0	0	45	219
A1BG	FCGR1A	experiments_transferred	126	0	0	0	0	0	126	0	0	91	42	172
A1BG	FCGR3A	experiments_transferred	176	0	0	0	0	0	176	0	0	55	0	188
A1BG	FCGR3B	experiments_transferred	176	0	0	0	0	0	176	0	0	0	0	175
A1BG	FCMR	experiments_transferred	67	0	0	201	0	0	67	0	0	0	0	222
A1BG	FDXR	experiments	224	0	0	0	56	224	0	0	0	0	0	236
A1BG	FETUB	experiments_transferred	67	0	0	0	47	0	67	0	0	290	44	315
