"source","target","Jaccard_weight","CPEweight"
"Interleukin-6 regulation of target genes","Irinotecan pathway",1,0.25
"Interleukin-6 regulation of target genes","Lipid digestion, mobilization, and transport",0,0.625
"Interleukin-6 regulation of target genes","S1P/S1P1 pathway",1,0.25
"Interleukin-6 regulation of target genes","Transmembrane transport of small molecules",0.142857142857143,0.25
"Irinotecan pathway","Lipid digestion, mobilization, and transport",0,0.625
"Irinotecan pathway","S1P/S1P1 pathway",1,0.25
"Irinotecan pathway","Transmembrane transport of small molecules",0.142857142857143,0.25
"Lipid digestion, mobilization, and transport","S1P/S1P1 pathway",0,0.625
"Lipid digestion, mobilization, and transport","Transmembrane transport of small molecules",0,0.625
"S1P/S1P1 pathway","Transmembrane transport of small molecules",0.142857142857143,0.25
"Binding of chemokines to chemokine receptors","GPCR ligand binding",1,0.166666666666667
"Binding of chemokines to chemokine receptors","Interleukin-6 regulation of target genes",0,0.208333333333333
"Binding of chemokines to chemokine receptors","Irinotecan pathway",0,0.208333333333333
"Binding of chemokines to chemokine receptors","Myometrial relaxation and contraction pathways",1,0.166666666666667
"Binding of chemokines to chemokine receptors","Peptide G-protein coupled receptors",1,0.166666666666667
"Binding of chemokines to chemokine receptors","S1P/S1P1 pathway",0,0.208333333333333
"Binding of chemokines to chemokine receptors","TGF-beta regulation of extracellular matrix",0.5,0.166666666666667
"Binding of chemokines to chemokine receptors","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",1,0.166666666666667
"Binding of chemokines to chemokine receptors","Transmembrane transport of small molecules",0,0.208333333333333
"GPCR ligand binding","Interleukin-6 regulation of target genes",0,0.208333333333333
"GPCR ligand binding","Irinotecan pathway",0,0.208333333333333
"GPCR ligand binding","Myometrial relaxation and contraction pathways",1,0.166666666666667
"GPCR ligand binding","Peptide G-protein coupled receptors",1,0.166666666666667
"GPCR ligand binding","S1P/S1P1 pathway",0,0.208333333333333
"GPCR ligand binding","TGF-beta regulation of extracellular matrix",0.5,0.166666666666667
"GPCR ligand binding","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",1,0.166666666666667
"GPCR ligand binding","Transmembrane transport of small molecules",0,0.208333333333333
"Interleukin-6 regulation of target genes","Irinotecan pathway",1,0.25
"Interleukin-6 regulation of target genes","Myometrial relaxation and contraction pathways",0,0.208333333333333
"Interleukin-6 regulation of target genes","Peptide G-protein coupled receptors",0,0.208333333333333
"Interleukin-6 regulation of target genes","S1P/S1P1 pathway",1,0.25
"Interleukin-6 regulation of target genes","TGF-beta regulation of extracellular matrix",0,0.208333333333333
"Interleukin-6 regulation of target genes","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",0,0.208333333333333
"Interleukin-6 regulation of target genes","Transmembrane transport of small molecules",0.142857142857143,0.25
"Irinotecan pathway","Myometrial relaxation and contraction pathways",0,0.208333333333333
"Irinotecan pathway","Peptide G-protein coupled receptors",0,0.208333333333333
"Irinotecan pathway","S1P/S1P1 pathway",1,0.25
"Irinotecan pathway","TGF-beta regulation of extracellular matrix",0,0.208333333333333
"Irinotecan pathway","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",0,0.208333333333333
"Irinotecan pathway","Transmembrane transport of small molecules",0.142857142857143,0.25
"Myometrial relaxation and contraction pathways","Peptide G-protein coupled receptors",1,0.166666666666667
"Myometrial relaxation and contraction pathways","S1P/S1P1 pathway",0,0.208333333333333
"Myometrial relaxation and contraction pathways","TGF-beta regulation of extracellular matrix",0.5,0.166666666666667
"Myometrial relaxation and contraction pathways","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",1,0.166666666666667
"Myometrial relaxation and contraction pathways","Transmembrane transport of small molecules",0,0.208333333333333
"Peptide G-protein coupled receptors","S1P/S1P1 pathway",0,0.208333333333333
"Peptide G-protein coupled receptors","TGF-beta regulation of extracellular matrix",0.5,0.166666666666667
"Peptide G-protein coupled receptors","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",1,0.166666666666667
"Peptide G-protein coupled receptors","Transmembrane transport of small molecules",0,0.208333333333333
"S1P/S1P1 pathway","TGF-beta regulation of extracellular matrix",0,0.208333333333333
"S1P/S1P1 pathway","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",0,0.208333333333333
"S1P/S1P1 pathway","Transmembrane transport of small molecules",0.142857142857143,0.25
"TGF-beta regulation of extracellular matrix","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",0.5,0.166666666666667
"TGF-beta regulation of extracellular matrix","Transmembrane transport of small molecules",0,0.208333333333333
"TNF-alpha effects on cytokine activity, cell motility, and apoptosis","Transmembrane transport of small molecules",0,0.208333333333333
"BDNF signaling pathway","FSH regulation of apoptosis",1,0.333333333333333
"BDNF signaling pathway","Interleukin-2 signaling pathway",1,0.333333333333333
"FSH regulation of apoptosis","Interleukin-2 signaling pathway",1,0.333333333333333
"Retinoblastoma protein regulation","Signaling by NGF",1,0.333333333333333
"Retinoblastoma protein regulation","T cell receptor regulation of apoptosis",1,0.333333333333333
