Gene.Name	Approved.Name	Hugo.Gene.Family	HPRD.Function	nodeType	Domains	Compartment	Compartment.Overview
A1BG	alpha-1-B glycoprotein	Immunoglobulin-like domain containing	Molecular function unknown (GO:0005554)	undefined	IGC2	undefined	plasma.membrane
A1CF	APOBEC1 complementation factor	RNA binding motif containing	RNA binding (GO:0003723)	RNA binding and processing protein	RRM	RNA-associated; nucleus	RNA.associated
A2LD1	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
A2M	alpha-2-macroglobulin	undefined	Protease inhibitor activity (GO:0030414)	undefined	A2M	cytosol; secretion	plasma.membrane
A2ML1	alpha-2-macroglobulin-like 1	undefined	Protease inhibitor activity (GO:0030414)	undefined	undefined	undefined	plasma.membrane
A3GALT2	alpha 1,3-galactosyltransferase 2	Glycosyltransferase family 6	Galactosyltransferase activity (GO:0008378)	undefined	TM	undefined	undefined
A4GALT	alpha 1,4-galactosyltransferase	Alpha 1,4-glycosyltransferases	Galactosyltransferase activity (GO:0008378)	membrane protein	TM	Golgi	ER.Golgi
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Alpha 1,4-glycosyltransferases	Transferase activity (GO:0016740)	membrane protein	TM	undefined	undefined
AAAS	aladin WD repeat nucleoporin	WD repeat domain containing|Nucleoporins	Molecular function unknown (GO:0005554)	membrane protein	WD40	nucleus; cytoskeleton; microtubules	cytoskeleton
AACS	acetoacetyl-CoA synthetase	Acyl-CoA synthetase family	Ligase activity (GO:0016874)	undefined	undefined	undefined	undefined
AADAC	arylacetamide deacetylase	Arylacetamide deacetylase family|Lipases	Deacetylase activity (GO:0019213)	deacetylase	TM	nucleus; endoplasmic reticulum	ER.Golgi
AADACL2	arylacetamide deacetylase-like 2	Arylacetamide deacetylase family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	plasma.membrane
AADACL3	arylacetamide deacetylase-like 3	Arylacetamide deacetylase family	Hydrolase activity (GO:0016787)	membrane protein	undefined	undefined	undefined
AADACL4	arylacetamide deacetylase-like 4	Arylacetamide deacetylase family	Molecular function unknown (GO:0005554)	membrane protein	TM	undefined	undefined
AADAT	aminoadipate aminotransferase	undefined	Transaminase activity (GO:0008483)	undefined	undefined	mitochondria	mitochondria.metabolism
AAED1	AhpC/TSA antioxidant enzyme domain containing 1	undefined	undefined	undefined	undefined	undefined	undefined
AAGAB	alpha- and gamma-adaptin binding protein	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus	nucleus
AAK1	AP2 associated kinase 1	undefined	Cytoskeletal protein binding (GO:0008092)	kinase	S_T_Y_Kinase	plasma membrane; endosome	endolysosome.system
AAMDC	adipogenesis associated, Mth938 domain containing	undefined	undefined	undefined	undefined	undefined	undefined
AAMP	angio associated migratory cell protein	WD repeat domain containing	Cell adhesion molecule activity (GO:0005194)	undefined	WD40	plasma membrane	plasma.membrane
AANAT	aralkylamine N-acetyltransferase	GCN5 related N-acetyltransferases	Acyltransferase activity (GO:0008415)	acetyltransferase	undefined	cytosol	undefined
AAR2	AAR2 splicing factor homolog	undefined	undefined	undefined	undefined	undefined	undefined
AARD	alanine and arginine rich domain containing protein	undefined	undefined	undefined	undefined	undefined	undefined
AARS	alanyl-tRNA synthetase	Aminoacyl tRNA synthetases, Class II	Ligase activity (GO:0016874)	undefined	undefined	cytosol	plasma.membrane
AARS2	alanyl-tRNA synthetase 2, mitochondrial	Aminoacyl tRNA synthetases, Class II	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
AARSD1	alanyl-tRNA synthetase domain containing 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus	nucleus
AASDH	aminoadipate-semialdehyde dehydrogenase	Acyl-CoA synthetase family	Catalytic activity (GO:0003824)	undefined	PQQ	undefined	undefined
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	undefined	Catalytic activity (GO:0003824)	undefined	undefined	cytosol	plasma.membrane
AASS	aminoadipate-semialdehyde synthase	undefined	Oxidoreductase activity (GO:0016491)	undefined	undefined	mitochondria	mitochondria.metabolism
AATBC	undefined	undefined	undefined	undefined	undefined	undefined	undefined
AATF	apoptosis antagonizing transcription factor	undefined	Transcription factor activity (GO:0003700)	transcription factor	undefined	nucleus; nucleolus; cytoskeleton; microtubules	cytoskeleton
AATK	apoptosis-associated tyrosine kinase	Protein phosphatase 1 regulatory subunits|Receptor Tyrosine Kinases	Protein-tyrosine kinase activity (GO:0004713)	tyrosine kinase	S_T_Y_Kinase	undefined	undefined
ABALON	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ABAT	4-aminobutyrate aminotransferase	undefined	Transaminase activity (GO:0008483)	undefined	undefined	mitochondria	plasma.membrane
ABCA1	ATP binding cassette subfamily A member 1	ATP binding cassette subfamily A	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane; endosome	endolysosome.system
ABCA10	ATP binding cassette subfamily A member 10	ATP binding cassette subfamily A	Auxiliary transport protein activity (GO:0015457)	membrane protein	TM, AAA	undefined	undefined
ABCA11P	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ABCA12	ATP binding cassette subfamily A member 12	ATP binding cassette subfamily A	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane; secretion	plasma.membrane
ABCA13	ATP binding cassette subfamily A member 13	ATP binding cassette subfamily A	Transporter activity (GO:0005215)	membrane protein	TM, AAA	undefined	undefined
ABCA17P	undefined	undefined	undefined	undefined	undefined	undefined	undefined
ABCA2	ATP binding cassette subfamily A member 2	ATP binding cassette subfamily A	Transporter activity (GO:0005215)	membrane protein	AAA, TM	cytoskeleton; microtubules; plasma membrane; endosome; lysosome	endolysosome.system
ABCA3	ATP binding cassette subfamily A member 3	ATP binding cassette subfamily A	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane; secretion	plasma.membrane
ABCA4	ATP binding cassette subfamily A member 4	ATP binding cassette subfamily A	ATPase activity (GO:0016887)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCA5	ATP binding cassette subfamily A member 5	ATP binding cassette subfamily A	Auxiliary transport protein activity (GO:0015457)	membrane protein	AAA	undefined	undefined
ABCA6	ATP binding cassette subfamily A member 6	ATP binding cassette subfamily A	Auxiliary transport protein activity (GO:0015457)	membrane protein	TM, AAA	undefined	undefined
ABCA7	ATP binding cassette subfamily A member 7	ATP binding cassette subfamily A	Transporter activity (GO:0005215)	membrane protein	TM, AAA	Golgi; plasma membrane; endosome	endolysosome.system
ABCA8	ATP binding cassette subfamily A member 8	ATP binding cassette subfamily A	Auxiliary transport protein activity (GO:0015457)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCA9	ATP binding cassette subfamily A member 9	ATP binding cassette subfamily A	Transporter activity (GO:0005215)	membrane protein	TM, AAA	undefined	undefined
ABCB1	ATP binding cassette subfamily B member 1	CD molecules|ATP binding cassette subfamily B	Transporter activity (GO:0005215)	membrane protein	AAA, TM	plasma membrane	plasma.membrane
ABCB10	ATP binding cassette subfamily B member 10	ATP binding cassette subfamily B	Auxiliary transport protein activity (GO:0015457)	membrane protein	TM, AAA	mitochondria	mitochondria.metabolism
ABCB11	ATP binding cassette subfamily B member 11	ATP binding cassette subfamily B	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCB4	ATP binding cassette subfamily B member 4	ATP binding cassette subfamily B	Transporter activity (GO:0005215)	membrane protein	AAA, TM	plasma membrane	plasma.membrane
ABCB5	ATP binding cassette subfamily B member 5	ATP binding cassette subfamily B	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	ATP binding cassette subfamily B	Auxiliary transport protein activity (GO:0015457)	membrane protein	TM, AAA	endoplasmic reticulum; Golgi; plasma membrane; endosome; mitochondria	endolysosome.system
ABCB7	ATP binding cassette subfamily B member 7	ATP binding cassette subfamily B	Transporter activity (GO:0005215)	membrane protein	TM	mitochondria	mitochondria.metabolism
ABCB8	ATP binding cassette subfamily B member 8	ATP binding cassette subfamily B	Transporter activity (GO:0005215)	membrane protein	AAA	nucleus; nucleolus; plasma membrane; mitochondria	plasma.membrane
ABCB9	ATP binding cassette subfamily B member 9	ATP binding cassette subfamily B	Auxiliary transport protein activity (GO:0015457)	membrane protein	TM, AAA	nucleus; endoplasmic reticulum; lysosome	endolysosome.system
ABCC1	ATP binding cassette subfamily C member 1	ATP binding cassette subfamily C	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCC10	ATP binding cassette subfamily C member 10	ATP binding cassette subfamily C	Transporter activity (GO:0005215)	membrane protein	AAA, TM	plasma membrane; lysosome	endolysosome.system
ABCC11	ATP binding cassette subfamily C member 11	ATP binding cassette subfamily C	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCC12	ATP binding cassette subfamily C member 12	ATP binding cassette subfamily C	Transporter activity (GO:0005215)	membrane protein	TM, AAA	undefined	undefined
ABCC13	undefined	undefined	undefined	membrane protein	undefined	undefined	undefined
ABCC2	ATP binding cassette subfamily C member 2	ATP binding cassette subfamily C	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCC3	ATP binding cassette subfamily C member 3	ATP binding cassette subfamily C	Auxiliary transport protein activity (GO:0015457)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCC4	ATP binding cassette subfamily C member 4	ATP binding cassette subfamily C	Transporter activity (GO:0005215)	membrane protein	AAA, TM	plasma membrane; secretion	plasma.membrane
ABCC5	ATP binding cassette subfamily C member 5	ATP binding cassette subfamily C	Transporter activity (GO:0005215)	membrane protein	AAA	plasma membrane	plasma.membrane
ABCC6	ATP binding cassette subfamily C member 6	ATP binding cassette subfamily C	Transporter activity (GO:0005215)	membrane protein	TM, AAA	nucleus; plasma membrane	plasma.membrane
ABCC8	ATP binding cassette subfamily C member 8	ATP binding cassette subfamily C	Transporter activity (GO:0005215)	membrane protein	AAA, TM	plasma membrane; channel	plasma.membrane
ABCC9	ATP binding cassette subfamily C member 9	ATP binding cassette subfamily C	Ion channel activity (GO:0005216)	membrane protein	TM, AAA	plasma membrane; channel	plasma.membrane
ABCD1	ATP binding cassette subfamily D member 1	ATP binding cassette subfamily D	ATPase activity (GO:0016887)	membrane protein	AAA	cytosol	undefined
ABCD2	ATP binding cassette subfamily D member 2	ATP binding cassette subfamily D	Transporter activity (GO:0005215)	membrane protein	AAA	cytosol	undefined
ABCD3	ATP binding cassette subfamily D member 3	ATP binding cassette subfamily D|GOLD domain containing	ATP binding (GO:0005524)	membrane protein	TM, AAA	cytosol	undefined
ABCD4	ATP binding cassette subfamily D member 4	ATP binding cassette subfamily D	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane; lysosome	endolysosome.system
ABCE1	ATP binding cassette subfamily E member 1	ATP binding cassette subfamily E	Transporter activity (GO:0005215)	undefined	AAA	mitochondria	mitochondria.metabolism
ABCF1	ATP binding cassette subfamily F member 1	ATP binding cassette subfamily F	Translation regulator activity (GO:0045182)	undefined	AAA	undefined	undefined
ABCF2	ATP binding cassette subfamily F member 2	ATP binding cassette subfamily F	Molecular function unknown (GO:0005554)	undefined	AAA	plasma membrane; mitochondria	plasma.membrane
ABCF3	ATP binding cassette subfamily F member 3	ATP binding cassette subfamily F	Transporter activity (GO:0005215)	undefined	AAA	undefined	undefined
ABCG1	ATP binding cassette subfamily G member 1	ATP binding cassette subfamily G	Lipid transporter activity (GO:0005319)	membrane protein	AAA, TM	nucleus; Golgi; plasma membrane; endosome	endolysosome.system
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	CD molecules|ATP binding cassette subfamily G	Transporter activity (GO:0005215)	membrane protein	TM, AAA	nucleus; plasma membrane; mitochondria	plasma.membrane
ABCG4	ATP binding cassette subfamily G member 4	ATP binding cassette subfamily G	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCG5	ATP binding cassette subfamily G member 5	ATP binding cassette subfamily G	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABCG8	ATP binding cassette subfamily G member 8	ATP binding cassette subfamily G	Transporter activity (GO:0005215)	membrane protein	TM, AAA	plasma membrane	plasma.membrane
ABHD1	abhydrolase domain containing 1	Abhydrolase domain containing	Hydrolase activity (GO:0016787)	membrane protein	ABH, TM	undefined	undefined
ABHD10	abhydrolase domain containing 10	Abhydrolase domain containing	Hydrolase activity (GO:0016787)	undefined	undefined	cytosol	undefined
ABHD11	abhydrolase domain containing 11	Abhydrolase domain containing	Molecular function unknown (GO:0005554)	undefined	ABH	undefined	undefined
ABHD12	abhydrolase domain containing 12	Abhydrolase domain containing	Molecular function unknown (GO:0005554)	membrane protein	ABH, TM	undefined	undefined
ABHD12B	abhydrolase domain containing 12B	Abhydrolase domain containing	Molecular function unknown (GO:0005554)	undefined	ABH	undefined	undefined
ABHD13	abhydrolase domain containing 13	Abhydrolase domain containing	Hydrolase activity (GO:0016787)	membrane protein	TM	undefined	undefined
ABHD14A	abhydrolase domain containing 14A	Abhydrolase domain containing	Hydrolase activity (GO:0016787)	membrane protein	undefined	undefined	plasma.membrane
ABHD14B	abhydrolase domain containing 14B	Abhydrolase domain containing	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; nucleolus; cytosol	plasma.membrane
ABHD15	abhydrolase domain containing 15	Abhydrolase domain containing	Molecular function unknown (GO:0005554)	undefined	TM	undefined	undefined
ABHD16A	abhydrolase domain containing 16A	Abhydrolase domain containing	undefined	membrane protein	undefined	undefined	undefined
ABHD16B	abhydrolase domain containing 16B	Abhydrolase domain containing	undefined	undefined	undefined	undefined	undefined
ABHD17A	abhydrolase domain containing 17A	Abhydrolase domain containing	undefined	undefined	undefined	undefined	undefined
ABHD17B	abhydrolase domain containing 17B	Abhydrolase domain containing	undefined	undefined	undefined	undefined	undefined
ABHD17C	abhydrolase domain containing 17C	Abhydrolase domain containing	undefined	undefined	undefined	undefined	undefined
ABHD18	abhydrolase domain containing 18	undefined	undefined	undefined	undefined	undefined	undefined
ABHD2	abhydrolase domain containing 2	Abhydrolase domain containing	Hydrolase activity (GO:0016787)	membrane protein	ABH	undefined	undefined
ABHD3	abhydrolase domain containing 3	Abhydrolase domain containing	Molecular function unknown (GO:0005554)	membrane protein	undefined	undefined	undefined
